rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,1,,normalization_mitigation_features_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,200,0.1,,PCA,6,,7.152557373046875e-06,already_evaluated,0.008213281631469727,0.82_0.6_0.79_0.77_0.74,0.57_0.54_0.54_0.55_0.52,1.036743450164795,0.7435113789567771,0.76,0.96,0.85,0.87,0.545952380952381,1746693563.7612426,,MLPClassifier,lbfgs,5,,5,,,,,,,adaptive,,,1e-05,logistic
NearMiss,1,,mitigation_rebalancing_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,PCA,4,,6.4373016357421875e-06,already_evaluated,0.013309717178344727,0.0_0.0_0.0_0.16_0.0,0.56_0.54_0.53_0.55_0.55,0.05908889770507812,0.03166666666666667,0.82,0.98,0.03,0.87,0.5457142857142857,1746693563.7720635,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,1.0,100,1.0,,FunctionTransformer,,,4.5299530029296875e-06,already_evaluated,0.006102418899536133,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,0.8205818176269531,1.0,1.0,1.0,1.0,1.0,0.5,1746693563.7834663,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.01,tanh
SMOTE,,8,normalization_rebalancing_mitigation_features_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,SelectKBest,,6,4.291534423828125e-06,already_evaluated,0.005129623413085938,0.41_0.76_0.85_0.54_0.44,0.65_0.63_0.7_0.66_0.7,0.025011825561523437,0.6007425722425722,0.88,0.89,0.63,0.85,0.6704761904761904,1746693563.7968495,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,3,,mitigation_rebalancing_features_normalization_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,SelectKBest,,2,5.0067901611328125e-06,already_evaluated,0.005026769638061523,0.0_0.0_0.13_0.0_0.0,0.61_0.62_0.55_0.59_0.54,0.08003072738647461,0.025714285714285717,0.82,0.89,0.03,0.94,0.584047619047619,1746693563.812422,,RandomForestClassifier,,,,,25,4,,6,3,3,,entropy,True,,
NearMiss,4,,normalization_mitigation_rebalancing_features_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.75,SelectKBest,,1,5.245208740234375e-06,already_evaluated,0.004893445968627929,0.82_0.6_0.9_0.44_0.27,0.64_0.61_0.56_0.53_0.56,0.2051107406616211,0.6072986675946132,0.74,1.0,0.64,0.89,0.5788095238095238,1746693563.829249,,MLPClassifier,adam,50,,5,,,,,,,constant,,,0.0001,relu
SMOTE,,8,mitigation_rebalancing_normalization_features_classification,,False,,True,RobustScaler,CorrelationRemover,,,,0.75,SelectKBest,,6,4.5299530029296875e-06,already_evaluated,0.015680742263793946,0.64_0.59_0.77_0.5_0.41,0.55_0.6_0.46_0.54_0.52,0.03945722579956055,0.5835457242656569,0.82,0.82,0.67,0.93,0.5338095238095238,1746693563.8492646,uniform,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,
SMOTE,,7,features_rebalancing_normalization_mitigation_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.05970449447631836,0.0_0.2_0.36_0.57_0.54,0.59_0.65_0.67_0.58_0.68,0.03300943374633789,0.33676714513556616,1.0,0.74,0.34,0.69,0.6328571428571429,1746693563.8682542,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,0.1,,PCA,2,,4.291534423828125e-06,already_evaluated,0.006862735748291016,1.0_1.0_0.95_1.0_1.0,0.5_0.5_0.51_0.5_0.5,1.2309680461883545,0.9908256880733944,0.99,1.0,1.0,1.0,0.5011904761904762,1746693563.8868217,,MLPClassifier,adam,25,,1,,,,,,,constant,,,0.01,logistic
SMOTE,,7,rebalancing_features_mitigation_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,SelectKBest,,8,4.291534423828125e-06,already_evaluated,0.005608510971069336,0.74_0.41_0.53_0.48_0.79,0.7_0.69_0.65_0.65_0.64,0.032976627349853516,0.5892237378043005,0.93,0.95,0.64,0.84,0.6661904761904761,1746693563.9064207,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,2,,features_mitigation_rebalancing_normalization_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,4.5299530029296875e-06,already_evaluated,0.030329036712646484,0.0_0.38_0.33_0.16_0.0,0.65_0.66_0.63_0.61_0.61,12.805683660507203,0.17337121212121212,0.88,0.96,0.17,0.87,0.6297619047619049,1746693563.9257596,,MLPClassifier,adam,50,,20,,,,,,,constant,,,0.01,tanh
FunctionTransformer,,,normalization_features_mitigation_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,FunctionTransformer,,,4.76837158203125e-06,already_evaluated,0.0042079448699951175,0.39_0.8_0.53_0.56_0.53,0.58_0.67_0.65_0.6_0.6,0.09135794639587402,0.5609674449547912,0.88,0.96,0.6,0.79,0.621904761904762,1746693563.9458761,,MLPClassifier,lbfgs,10,,1,,,,,,,constant,,,1e-05,tanh
SMOTE,,8,mitigation_rebalancing_normalization_features_classification,False,,False,,StandardScaler,LFR_wrapper,0.5,50,2.0,,SelectKBest,,10,4.291534423828125e-06,already_evaluated,0.007571697235107422,0.0_nan_0.87_0.78_0.41,0.5_0.5_0.54_0.56_0.51,0.9318889141082763,-inf,0.82,0.72,0.56,0.67,0.5240476190476191,1746693563.96666,,MLPClassifier,lbfgs,50,,1,,,,,,,constant,,,0.01,relu
SMOTE,,7,features_normalization_rebalancing_mitigation_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,1,,4.0531158447265625e-06,already_evaluated,0.004101848602294922,0.79_0.75_0.59_0.77_0.72,0.62_0.58_0.52_0.56_0.54,0.020493125915527342,0.7219120878067036,0.8,0.9,0.89,0.89,0.5642857142857144,1746693563.988445,,RandomForestClassifier,,,,,10,4,,6,2,3,,gini,True,,
NearMiss,2,,normalization_rebalancing_mitigation_features_classification,,True,,False,RobustScaler,FunctionTransformer,,,,,PCA,4,,4.291534423828125e-06,already_evaluated,0.00847015380859375,0.68_0.69_0.69_0.54_0.47,0.58_0.59_0.58_0.52_0.55,0.04542961120605469,0.6148148700123172,0.87,0.95,0.68,0.78,0.5652380952380952,1746693564.01317,distance,KNeighborsClassifier,,,13,,,,minkowski,,,,,,,,
NearMiss,3,,normalization_rebalancing_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,6,5.0067901611328125e-06,already_evaluated,0.005513238906860352,nan_0.18_nan_0.89_1.0,0.5_0.49_0.5_0.49_0.5,0.8288957595825195,-inf,0.79,0.96,0.73,0.87,0.495952380952381,1746693564.040923,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,6,rebalancing_normalization_mitigation_features_classification,,True,,True,RobustScaler,FunctionTransformer,,,,,FunctionTransformer,,,7.152557373046875e-06,already_evaluated,0.06527824401855468,0.0_0.39_0.35_0.57_0.43,0.64_0.69_0.69_0.64_0.7,0.038432645797729495,0.34765195453480685,1.0,0.93,0.4,0.62,0.6697619047619048,1746693564.068997,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,8,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,FunctionTransformer,,,,,PCA,4,,6.198883056640625e-06,already_evaluated,0.005709505081176758,0.4_0.67_0.38_0.38_0.56,0.56_0.57_0.59_0.55_0.65,0.046537256240844725,0.47900706789462416,0.86,0.91,0.56,0.72,0.5842857142857143,1746693564.09799,,RandomForestClassifier,,,,,25,4,,4,3,1,,entropy,True,,
NearMiss,2,,features_rebalancing_mitigation_normalization_classification,False,,False,,StandardScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,2,5.245208740234375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746693564.129102,,MLPClassifier,adam,50,,5,,,,,,,constant,,,0.01,logistic
SMOTE,,6,mitigation_normalization_features_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,100,2.0,,PCA,4,,5.7220458984375e-06,already_evaluated,0.005880832672119141,0.81_0.68_0.87_0.78_0.38,0.58_0.57_0.54_0.55_0.5,1.1242821216583252,0.7022758368249715,0.76,0.96,0.79,0.87,0.5488095238095239,1746693564.1599884,,MLPClassifier,lbfgs,25,,1,,,,,,,invscaling,,,0.001,logistic
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,2.0,10,0.1,,FunctionTransformer,,,7.3909759521484375e-06,already_evaluated,0.0552574634552002,1.0_0.9_0.86_0.75_1.0,0.5_0.56_0.52_0.5_0.5,1.28171648979187,0.9026000351990324,0.96,0.95,0.96,0.95,0.5166666666666667,1746693564.191982,uniform,KNeighborsClassifier,,,3,,,,euclidean,,,,,,,,
SMOTE,,7,features_rebalancing_normalization_mitigation_classification,False,,True,,StandardScaler,CorrelationRemover,,,,0.25,SelectKBest,,8,7.152557373046875e-06,already_evaluated,0.004632329940795899,0.65_0.9_0.93_0.75_0.89,0.54_0.54_0.5_0.61_0.53,0.0076274871826171875,0.8247574513434325,0.89,0.92,0.91,0.92,0.5440476190476191,1746693564.2294269,distance,KNeighborsClassifier,,,7,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.5,PCA,4,,4.5299530029296875e-06,already_evaluated,0.009610128402709962,0.98_1.0_0.96_0.92_0.97,0.51_0.5_0.54_0.53_0.52,0.1541205883026123,0.9660588124512361,0.97,1.0,1.0,0.97,0.5204761904761904,1746693564.2690365,,RandomForestClassifier,,,,,75,2,,3,3,3,,gini,True,,
NearMiss,2,,normalization_features_rebalancing_mitigation_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.0013580322265625e-05,already_evaluated,0.005061101913452148,0.65_0.64_0.7_0.63_0.38,0.66_0.68_0.65_0.52_0.59,0.38309731483459475,0.6016574831185456,0.67,1.0,0.69,0.85,0.6195238095238095,1746693564.31171,,MLPClassifier,sgd,5,,20,,,,,,,constant,,,1e-05,logistic
SMOTE,,8,features_mitigation_rebalancing_normalization_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,FunctionTransformer,,,4.291534423828125e-06,already_evaluated,0.0041347980499267575,0.17_0.33_0.75_0.78_0.61,0.67_0.69_0.67_0.63_0.69,0.3436387062072754,0.5264820714156577,0.96,0.81,0.58,0.83,0.6685714285714285,1746693564.35655,,MLPClassifier,adam,5,,1,,,,,,,adaptive,,,0.0001,relu
FunctionTransformer,,,rebalancing_normalization_features_mitigation_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,PCA,7,,3.814697265625e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746693564.4004817,,MLPClassifier,lbfgs,5,,20,,,,,,,constant,,,1e-05,relu
SMOTE,,6,mitigation_normalization_features_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,SelectKBest,,7,5.9604644775390625e-06,already_evaluated,0.005327081680297852,0.68_0.76_0.71_0.79_0.85,0.69_0.66_0.72_0.7_0.63,0.1072575569152832,0.7596742642463665,0.95,0.83,0.88,0.87,0.680952380952381,1746693564.4464219,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,7,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,0.1,10,1.0,,SelectKBest,,6,4.5299530029296875e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,1746693564.4848814,uniform,KNeighborsClassifier,,,17,,,,manhattan,,,,,,,,
